奉恩將軍西清額,旭英第七子。乾隆四十九年，封奉恩將軍。嘉慶五年，卒。
奉恩將軍慶碩，烏爾恭阿第二子。乾隆五十年，襲奉恩將軍。嘉慶元年，卒。無嗣。
三等奉國將軍查庫齊，洞鄂第十六子。雍正九年，封三等奉國將軍。乾隆十四年，緣事革退。十六年，卒。
奉恩將軍貝和珠，查庫齊第二子。乾隆八年，封奉恩將軍。二十七年，緣事革退。
奉恩將軍綽和諾，查庫齊第四子。乾隆十二年，封奉恩將軍。三十九年，卒。
奉恩將軍愛新泰，綽和諾第一子。乾隆四十年，襲奉恩將軍。嘉慶三年，卒。
奉恩將軍明智，愛新泰第一子。嘉慶三年，襲奉恩將軍。十八年，因病告退。
奉恩將軍誠永，明智第一子。嘉慶十九年，襲奉恩將軍。同治十二年，卒。襲次巳盡，不襲。
輔國公費揚古，多鐸第八子。順治六年己丑二月初八日亥時生。母庶福晉佟佳氏，參領索達塞之女。康熙二年，封三等奉國將軍。五十一年，晉輔國公。五十八年，緣事革退。雍正元年癸卯八月初十日未時，卒。嫡福晉兆佳氏，副都統公圖之女；妾何氏，豪善之女；妾鄧氏，鄧雲之女；妾王氏，王永之女；妾夏氏，夏二之女。 　　子十三人：長子費雅傅哈；次子奉恩將軍畢喇席；三子尼馬喇；四子畢爾圖；五子奉恩將軍詹布；六子奉恩將軍遙努；七子莽堪；八子望洪；九子吉祿；十子已革三等侍衛務爾渾；十一子蟾德宜；十二子昭拉詩；十三子玖詩。
奉恩將軍畢喇席，費揚古第二子。康熙十一年，封奉恩將軍。雍正四年，卒。
奉恩將軍訥延，畢喇席第八子。雍正三年，封奉恩將軍。乾隆二十四年，因病告退。
奉恩將軍達福，訥延第二子。乾隆二十四年，襲奉恩將軍。嘉慶元年，卒。無嗣。
奉恩將軍巴延，畢喇席第九子。雍正三年，封奉恩將軍。八年，卒。
奉恩將軍尚福，巴延第一子。乾隆八年，襲奉恩將軍。三十二年，卒。
奉恩將軍達喜，巴延第二子。乾隆三十二年，襲奉恩將軍。四十五年，卒。無嗣。
奉恩將軍世照，畢喇席第十三子。雍正四年，封奉恩將軍。乾隆二十四年，卒。
奉恩將軍永明阿，世照第六子。乾隆二十五年，襲奉恩將軍。嘉慶十八年，緣事革退。
奉恩將軍詹布，費揚古第五子。康熙三十三年，封奉恩將軍。乾隆九年，卒。
奉恩將軍岳和，詹布第七子。乾隆九年，襲奉恩將軍。四十六年，因病告退。
奉恩將軍 ?恆，岳和第三子。乾隆四十八年，襲奉恩將軍。嘉慶二年，卒。
奉恩將軍色克星額，?恆第一子。嘉慶三年，襲奉恩將軍。道光元年，卒。
奉恩將軍吉泰，色克星額第一子。道光二年，襲奉恩將軍。同治三年，卒。
吉謙，色克星額子。
奉恩將軍文英，吉謙子。同治四年，襲奉恩將軍。光緒十年，卒。
奉恩將軍裕誠，文英第二子。光緒十一年，襲奉恩將軍。
奉恩將軍遙努，費揚古第六子。康熙三十八年，封奉恩將軍。四十四年，卒。
奉恩將軍根英，遙努第一子。康熙四十五年，襲奉恩將軍。乾隆四年，卒。
費揚果，太祖第十六子。太宗時，獲罪正法，子孫降為紅帶子。

這部作品也可能在本國本地版權期限更長，但對外國外地作品應用較短期限規則的國家以及地區，屬於公有領域。

